Item,food_group,Region,Notes
Sesame ,Oilcrops,Asia_Central,As per Palacios
Sesame ,Oilcrops,Asia_South,As per Palacios
Sorghum,Cereals,Africa_Central,As per Palacios
Sorghum,Cereals,Africa_East,As per Palacios
Sorghum,Cereals,Africa_Southern,As per Palacios
Sorghum,Cereals,Africa_West,As per Palacios
Soybean,Oilcrops,Asia_East,As per Palacios
"Spices, other",Spices,Not_Specified,
Sugar,Sugarcrops,Asia_South,As per Palacios
Sugar,Sugarcrops,Asia_Southeast,As per Palacios
Sugar,Sugarcrops,Europe_Eastern_north,"As per Palacios, but refined by CK"
Sugar,Sugarcrops,Europe_Eastern_south,"As per Palacios, but refined by CK"
Sugar,Sugarcrops,Europe_Western_north,"As per Palacios, but refined by CK"
Sugar,Sugarcrops,Europe_Western_south,"As per Palacios, but refined by CK"
Sugar,Sugarcrops,Mediterranean_SouthandEast,As per Palacios
Sunflower,Oilcrops,America_North,As per Palacios
Sweet potatoes,Starchy roots,America_Central_and_Mexico,As per Palacios
Sweet potatoes,Starchy roots,America_South_andean,"As per Palacios, but refined by CK"
Sweet potatoes,Starchy roots,America_South_tropical,"As per Palacios, but refined by CK"
"Sweeteners, other",Sugarcrops,Not_Specified,
Tea,Stimulants,America_South_temperate,"as determined from contributing species PNAS. Mate native to Paraguay, Uruguay, Brazil, Argentina. Tea to S, E and SE Asia"
Tea,Stimulants,America_South_tropical,"as determined from contributing species PNAS. Mate native to Paraguay, Uruguay, Brazil, Argentina. Tea to S, E and SE Asia"
Tea,Stimulants,Asia_East,"as determined from contributing species PNAS. Mate native to Paraguay, Uruguay, Brazil, Argentina. Tea to S, E and SE Asia"
Tea,Stimulants,Asia_South,"as determined from contributing species PNAS. Mate native to Paraguay, Uruguay, Brazil, Argentina. Tea to S, E and SE Asia"
Tea,Stimulants,Asia_Southeast,"as determined from contributing species PNAS. Mate native to Paraguay, Uruguay, Brazil, Argentina. Tea to S, E and SE Asia"
Tomatoes,Vegetables,America_South_andean,"As per Palacios, but refined by CK"
Treenuts,Oilcrops,Not_Specified,
"Vegetables, other",Vegetables,Not_Specified,
Vegetal Products (Total),Vegetal Products (Total),DO NOT INCLUDE,As per Palacios
Wheat,Cereals,Asia_Central,As per Palacios
Wheat,Cereals,Asia_West,As per Palacios
Wheat,Cereals,Mediterranean_SouthandEast,added by CK due to presence of early crop and wild relatives in region
Yams,Starchy roots,Africa_Central,As per Palacios
Yams,Starchy roots,Africa_East,As per Palacios
Yams,Starchy roots,Africa_Southern,As per Palacios
Yams,Starchy roots,Africa_West,As per Palacios
Yams,Starchy roots,Asia_South,As per Palacios
Yams,Starchy roots,Asia_Southeast,As per Palacios
